Area,Domain,Process ID,Process,Practice ID,Practice Name,Activity
Governance,"Evaluate, Direct and Monitor",EDM01,Ensure Governance Framework Setting and Maintenance,EDM01.01,Evaluate the governance system.,"1. Analyse and identify the internal and external environmental factors (legal, regulatory and contractual obligations) and trends in the business environment that may influence governance design."
Governance,"Evaluate, Direct and Monitor",EDM01,Ensure Governance Framework Setting and Maintenance,EDM01.01,Evaluate the governance system.,2. Determine the significance of IT and its role with respect to the business.
Governance,"Evaluate, Direct and Monitor",EDM01,Ensure Governance Framework Setting and Maintenance,EDM01.01,Evaluate the governance system.,"3. Consider external regulations, laws and contractual obligations and determine how they should be applied within the governance of enterprise IT."
Governance,"Evaluate, Direct and Monitor",EDM01,Ensure Governance Framework Setting and Maintenance,EDM01.01,Evaluate the governance system.,"4. Align the ethical use and processing of information and its impact on society, natural environment, and internal and external stakeholder interests with the enterprise’s direction, goals and objectives."
Governance,"Evaluate, Direct and Monitor",EDM01,Ensure Governance Framework Setting and Maintenance,EDM01.01,Evaluate the governance system.,5. Determine the implications of the overall enterprise control environment with regard to IT.
Governance,"Evaluate, Direct and Monitor",EDM01,Ensure Governance Framework Setting and Maintenance,EDM01.01,Evaluate the governance system.,6. Articulate principles that will guide the design of governance and decision making of IT.
Governance,"Evaluate, Direct and Monitor",EDM01,Ensure Governance Framework Setting and Maintenance,EDM01.01,Evaluate the governance system.,7. Understand the enterprise’s decision-making culture and determine the optimal decision-making model for IT.
Governance,"Evaluate, Direct and Monitor",EDM01,Ensure Governance Framework Setting and Maintenance,EDM01.01,Evaluate the governance system.,"8. Determine the appropriate levels of authority delegation, including threshold rules, for IT decisions."
Governance,"Evaluate, Direct and Monitor",EDM01,Ensure Governance Framework Setting and Maintenance,EDM01.02,Direct the governance system.,1. Communicate governance of IT principles and agree with executive management on the way to establish informed and committed leadership.
Governance,"Evaluate, Direct and Monitor",EDM01,Ensure Governance Framework Setting and Maintenance,EDM01.02,Direct the governance system.,"2. Establish or delegate the establishment of governance structures, processes and practices in line with agreed-on design principles."
Governance,"Evaluate, Direct and Monitor",EDM01,Ensure Governance Framework Setting and Maintenance,EDM01.02,Direct the governance system.,"3. Allocate responsibility, authority and accountability in line with agreed-on governance design principles, decision-making models and delegation."
Governance,"Evaluate, Direct and Monitor",EDM01,Ensure Governance Framework Setting and Maintenance,EDM01.02,Direct the governance system.,4. Ensure that communication and reporting mechanisms provide those responsible for oversight and decision-making with appropriate information.
Governance,"Evaluate, Direct and Monitor",EDM01,Ensure Governance Framework Setting and Maintenance,EDM01.02,Direct the governance system.,5. Direct that staff follow relevant guidelines for ethical and professional behaviour and ensure that consequences of non-compliance are known and enforced.
Governance,"Evaluate, Direct and Monitor",EDM01,Ensure Governance Framework Setting and Maintenance,EDM01.02,Direct the governance system.,6. Direct the establishment of a reward system to promote desirable cultural change.
Governance,"Evaluate, Direct and Monitor",EDM01,Ensure Governance Framework Setting and Maintenance,EDM01.03,Monitor the governance system.,1. Assess the effectiveness and performance of those stakeholders given delegated responsibility and authority for governance of enterprise IT.
Governance,"Evaluate, Direct and Monitor",EDM01,Ensure Governance Framework Setting and Maintenance,EDM01.03,Monitor the governance system.,"2. Periodically assess whether agreed-on governance of IT mechanisms (structures, principles, processes, etc.) are established and operating effectively."
Governance,"Evaluate, Direct and Monitor",EDM01,Ensure Governance Framework Setting and Maintenance,EDM01.03,Monitor the governance system.,3. Assess the effectiveness of the governance design and identify actions to rectify any deviations found.
Governance,"Evaluate, Direct and Monitor",EDM01,Ensure Governance Framework Setting and Maintenance,EDM01.03,Monitor the governance system.,"4. Maintain oversight of the extent to which IT satisfies obligations (regulatory, legislation, common law, contractual), internal policies, standards and professional guidelines."
Governance,"Evaluate, Direct and Monitor",EDM01,Ensure Governance Framework Setting and Maintenance,EDM01.03,Monitor the governance system.,"5. Provide oversight of the effectiveness of, and compliance with, the enterprise’s system of control."
Governance,"Evaluate, Direct and Monitor",EDM01,Ensure Governance Framework Setting and Maintenance,EDM01.03,Monitor the governance system.,"6. Monitor regular and routine mechanisms for ensuring that the use of IT complies with relevant obligations (regulatory, legislation, common law, contractual), standards and guidelines."
Governance,"Evaluate, Direct and Monitor",EDM02 ,Ensure Benefits Delivery,EDM02.01,Evaluate value optimisation.,"1. Understand stakeholder requirements; strategic IT issues, such as dependence on IT; and technology insights and capabilities regarding the actual and potential significance of IT for the enterprise’s strategy."
Governance,"Evaluate, Direct and Monitor",EDM02 ,Ensure Benefits Delivery,EDM02.01,Evaluate value optimisation.,"2. Understand the key elements of governance required for the reliable, secure and cost-effective delivery of optimal value from the use of existing and new IT services, assets and resources."
Governance,"Evaluate, Direct and Monitor",EDM02 ,Ensure Benefits Delivery,EDM02.01,Evaluate value optimisation.,"3. Understand and regularly discuss the opportunities that could arise from enterprise change enabled by current, new or emerging technologies, and optimise the value created from those opportunities."
Governance,"Evaluate, Direct and Monitor",EDM02 ,Ensure Benefits Delivery,EDM02.01,Evaluate value optimisation.,"4. Understand what constitutes value for the enterprise, and consider how well it is communicated, understood and applied throughout the enterprise’s processes."
Governance,"Evaluate, Direct and Monitor",EDM02 ,Ensure Benefits Delivery,EDM02.01,Evaluate value optimisation.,5. Evaluate how effectively the enterprise and IT strategies have been integrated and aligned within the enterprise and with enterprise goals for delivering value.
Governance,"Evaluate, Direct and Monitor",EDM02 ,Ensure Benefits Delivery,EDM02.01,Evaluate value optimisation.,"6. Understand and consider how effective current roles, responsibilities, accountabilities and decision-making bodies are in ensuring value creation from IT-enabled investments, services and assets."
Governance,"Evaluate, Direct and Monitor",EDM02 ,Ensure Benefits Delivery,EDM02.01,Evaluate value optimisation.,"7. Consider how well the management of IT-enabled investments, services and assets aligns with enterprise value management and financial management practices."
Governance,"Evaluate, Direct and Monitor",EDM02 ,Ensure Benefits Delivery,EDM02.01,Evaluate value optimisation.,"8. Evaluate the portfolio of investments, services and assets for alignment with the enterprise’s strategic objectives; enterprise worth, both financial and non-financial; risk, both delivery risk and benefits risk; business process alignment; effectiveness in terms of usability, availability and responsiveness; and efficiency in terms of cost, redundancy and technical health."
Governance,"Evaluate, Direct and Monitor",EDM02 ,Ensure Benefits Delivery,EDM02.02,Direct value optimisation.,"1. Define and communicate portfolio and investment types, categories, criteria and relative weightings to the criteria to allow for overall relative value scores."
Governance,"Evaluate, Direct and Monitor",EDM02 ,Ensure Benefits Delivery,EDM02.02,Direct value optimisation.,"2. Define requirements for stage-gates and other reviews for significance of the investment to the enterprise and associated risk, programme schedules, funding plans, and the delivery of key capabilities and benefits and ongoing contribution to value."
Governance,"Evaluate, Direct and Monitor",EDM02 ,Ensure Benefits Delivery,EDM02.02,Direct value optimisation.,"3. Direct management to consider potential innovative uses of IT that enable the enterprise to respond to new opportunities or challenges, undertake new business, increase competitiveness, or improve processes."
Governance,"Evaluate, Direct and Monitor",EDM02 ,Ensure Benefits Delivery,EDM02.02,Direct value optimisation.,4. Direct any required changes in assignment of accountabilities and responsibilities for executing the investment portfolio and delivering value from business processes and services.
Governance,"Evaluate, Direct and Monitor",EDM02 ,Ensure Benefits Delivery,EDM02.02,Direct value optimisation.,5. Define and communicate enterprise-level value delivery goals and outcome measures to enable effective monitoring.
Governance,"Evaluate, Direct and Monitor",EDM02 ,Ensure Benefits Delivery,EDM02.02,Direct value optimisation.,6. Direct any required changes to the portfolio of investments and services to realign with current and expected enterprise objectives and/or constraints.
Governance,"Evaluate, Direct and Monitor",EDM02 ,Ensure Benefits Delivery,EDM02.02,Direct value optimisation.,"7. Recommend consideration of potential innovations, organisational changes or operational improvements that could drive increased value for the enterprise from IT-enabled initiatives."
Governance,"Evaluate, Direct and Monitor",EDM02 ,Ensure Benefits Delivery,EDM02.03,Monitor value optimisation.,"1. Define a balanced set of performance objectives, metrics, targets and benchmarks. Metrics should cover activity and outcome measures, including lead and lag indicators for outcomes, as well as an appropriate balance of financial and non-financial measures. Review and agree on them with the IT and other business functions, and other relevant stakeholders."
Governance,"Evaluate, Direct and Monitor",EDM02 ,Ensure Benefits Delivery,EDM02.03,Monitor value optimisation.,"2. Collect relevant, timely, complete, credible and accurate data to report on progress in delivering value against targets. Obtain a succinct, high-level, all-around view of portfolio, programme and IT (technical and operational capabilities) performance that supports decision making, and ensure that expected results are being achieved."
Governance,"Evaluate, Direct and Monitor",EDM02 ,Ensure Benefits Delivery,EDM02.03,Monitor value optimisation.,"3. Obtain regular and relevant portfolio, programme and IT (technological and functional) performance reports. Review the enterprise’s progress towards identified goals and the extent to which planned objectives have been achieved, deliverables obtained, performance targets met and risk mitigated."
Governance,"Evaluate, Direct and Monitor",EDM02 ,Ensure Benefits Delivery,EDM02.03,Monitor value optimisation.,"4. Upon review of reports, take appropriate management action as required to ensure that value is optimised."
Governance,"Evaluate, Direct and Monitor",EDM02 ,Ensure Benefits Delivery,EDM02.03,Monitor value optimisation.,"5. Upon review of reports, ensure that appropriate management corrective action is initiated and controlled."
Governance,"Evaluate, Direct and Monitor",EDM03,Ensure Risk Optimisation,EDM03.01,Evaluate risk management.,1. Determine the level of IT-related risk that the enterprise is willing to take to meet its objectives (risk appetite).
Governance,"Evaluate, Direct and Monitor",EDM03,Ensure Risk Optimisation,EDM03.01,Evaluate risk management.,2. Evaluate and approve proposed IT risk tolerance thresholds against the enterprise’s acceptable risk and opportunity levels.
Governance,"Evaluate, Direct and Monitor",EDM03,Ensure Risk Optimisation,EDM03.01,Evaluate risk management.,3. Determine the extent of alignment of the IT risk strategy to enterprise risk strategy.
Governance,"Evaluate, Direct and Monitor",EDM03,Ensure Risk Optimisation,EDM03.01,Evaluate risk management.,4. Proactively evaluate IT risk factors in advance of pending strategic enterprise decisions and ensure that risk-aware enterprise decisions are made.
Governance,"Evaluate, Direct and Monitor",EDM03,Ensure Risk Optimisation,EDM03.01,Evaluate risk management.,"5. Determine that IT use is subject to appropriate risk assessment and evaluation, as described in relevant international and national standards."
Governance,"Evaluate, Direct and Monitor",EDM03,Ensure Risk Optimisation,EDM03.01,Evaluate risk management.,6. Evaluate risk management activities to ensure alignment with the enterprise’s capacity for IT-related loss and leadership’s tolerance of it.
Governance,"Evaluate, Direct and Monitor",EDM03,Ensure Risk Optimisation,EDM03.02,Direct risk management.,"1. Promote an IT risk-aware culture and empower the enterprise to proactively identify IT risk, opportunity and potential business impacts."
Governance,"Evaluate, Direct and Monitor",EDM03,Ensure Risk Optimisation,EDM03.02,Direct risk management.,2. Direct the integration of the IT risk strategy and operations with the enterprise strategic risk decisions and operations.
Governance,"Evaluate, Direct and Monitor",EDM03,Ensure Risk Optimisation,EDM03.02,Direct risk management.,3. Direct the development of risk communication plans (covering all levels of the enterprise) as well as risk action plans.
Governance,"Evaluate, Direct and Monitor",EDM03,Ensure Risk Optimisation,EDM03.02,Direct risk management.,"4. Direct implementation of the appropriate mechanisms to respond quickly to changing risk and report immediately to appropriate levels of management, supported by agreed-on principles of escalation (what to report, when, where and how)."
Governance,"Evaluate, Direct and Monitor",EDM03,Ensure Risk Optimisation,EDM03.02,Direct risk management.,"5. Direct that risk, opportunities, issues and concerns may be identified and reported by anyone at any time. Risk should be managed in accordance with published policies and procedures and escalated to the relevant decision makers."
Governance,"Evaluate, Direct and Monitor",EDM03,Ensure Risk Optimisation,EDM03.02,Direct risk management.,"6. Identify key goals and metrics of risk governance and management processes to be monitored, and approve the approaches, methods, techniques and processes for capturing and reporting the measurement information."
Governance,"Evaluate, Direct and Monitor",EDM03,Ensure Risk Optimisation,EDM03.03,Monitor risk management.,1. Monitor the extent to which the risk profile is managed within the risk appetite thresholds.
Governance,"Evaluate, Direct and Monitor",EDM03,Ensure Risk Optimisation,EDM03.03,Monitor risk management.,"2. Monitor key goals and metrics of risk governance and management processes against targets, analyse the cause of any deviations, and initiate remedial actions to address the underlying causes."
Governance,"Evaluate, Direct and Monitor",EDM03,Ensure Risk Optimisation,EDM03.03,Monitor risk management.,3. Enable key stakeholders’ review of the enterprise’s progress towards identified goals.
Governance,"Evaluate, Direct and Monitor",EDM03,Ensure Risk Optimisation,EDM03.03,Monitor risk management.,4. Report any risk management issues to the board or executive committee.
Governance,"Evaluate, Direct and Monitor",EDM04,Ensure Resource Optimisation,EDM04.01,Evaluate resource management.,"1. Examine and make judgement on the current and future strategy, options for providing IT resources, and developing capabilities to meet current needs and future needs (including sourcing options)."
Governance,"Evaluate, Direct and Monitor",EDM04,Ensure Resource Optimisation,EDM04.01,Evaluate resource management.,"2. Define the principles for guiding the allocation and management of resources and capabilities so that IT can meet the needs of the enterprise, with the required capability and capacity according to the agreed-on priorities and budgetary constraints."
Governance,"Evaluate, Direct and Monitor",EDM04,Ensure Resource Optimisation,EDM04.01,Evaluate resource management.,3. Review and approve the resource plan and enterprise architecture strategies for delivering value and mitigating risk with the allocated resources.
Governance,"Evaluate, Direct and Monitor",EDM04,Ensure Resource Optimisation,EDM04.01,Evaluate resource management.,4. Understand requirements for aligning resource management with enterprise financial and human resources (HR) planning.
Governance,"Evaluate, Direct and Monitor",EDM04,Ensure Resource Optimisation,EDM04.01,Evaluate resource management.,5. Define principles for the management and control of the enterprise architecture.
Governance,"Evaluate, Direct and Monitor",EDM04,Ensure Resource Optimisation,EDM04.02,Direct resource management.,"1. Communicate and drive the adoption of the resource management strategies, principles, and agreed-on resource plan and enterprise architecture strategies."
