Area,Domain,Objective ID,Objective,Practice ID,Practice Name,Activity
Governance,"Evaluate, Direct and Monitor",EDM01,Ensured Governance Framework Setting and Maintenance,EDM01.01,Evaluate the governance system,"1.  Analyze and identify the internal and external environmental factors (legal, regulatory and contractual obligations) and trends in the business environment that may influence governance design."
Governance,"Evaluate, Direct and Monitor",EDM01,Ensured Governance Framework Setting and Maintenance,EDM01.01,Evaluate the governance system,2.  Determine the significance of I&T and its role with respect to the business.
Governance,"Evaluate, Direct and Monitor",EDM01,Ensured Governance Framework Setting and Maintenance,EDM01.01,Evaluate the governance system,"3.  Consider external regulations, laws and contractual obligations and determine how they should be applied within the governance of enterprise I&T."
Governance,"Evaluate, Direct and Monitor",EDM01,Ensured Governance Framework Setting and Maintenance,EDM01.01,Evaluate the governance system,4.  Determine the implications of the overall enterprise control environment with regard to I&T.
Governance,"Evaluate, Direct and Monitor",EDM01,Ensured Governance Framework Setting and Maintenance,EDM01.01,Evaluate the governance system,"5.  Align the ethical use and processing of information and its impact on society, the natural environment, and internal and external stakeholder interests with the enterprise’s direction, goals and objectives."
Governance,"Evaluate, Direct and Monitor",EDM01,Ensured Governance Framework Setting and Maintenance,EDM01.01,Evaluate the governance system,6.  Articulate principles that will guide the design of governance and decision making of I&T.
Governance,"Evaluate, Direct and Monitor",EDM01,Ensured Governance Framework Setting and Maintenance,EDM01.01,Evaluate the governance system,7.  Determine the optimal decision-making model for I&T.
Governance,"Evaluate, Direct and Monitor",EDM01,Ensured Governance Framework Setting and Maintenance,EDM01.01,Evaluate the governance system,"8.  Determine the appropriate levels of authority delegation, including threshold rules, for I&T decisions."
Governance,"Evaluate, Direct and Monitor",EDM01,Ensured Governance Framework Setting and Maintenance,EDM01.02,Direct the governance system.,1.  Communicate governance of I&T principles and agree with executive management on the way to establish informed and committed leadership.
Governance,"Evaluate, Direct and Monitor",EDM01,Ensured Governance Framework Setting and Maintenance,EDM01.02,Direct the governance system.,"2.  Establish or delegate the establishment of governance structures, processes and practices in line with agreed-on design principles."
Governance,"Evaluate, Direct and Monitor",EDM01,Ensured Governance Framework Setting and Maintenance,EDM01.02,Direct the governance system.,"3.  Establish an I&T governance board (or equivalent) at the board level. This board should ensure that governance of information and technology, as part of enterprise governance, is adequately addressed; advise on strategic direction; and determine prioritization of I&T-enabled investment programs in line with the enterprise’s business strategy and priorities."
Governance,"Evaluate, Direct and Monitor",EDM01,Ensured Governance Framework Setting and Maintenance,EDM01.02,Direct the governance system.,"4.  Allocate responsibility, authority and accountability for I&T decisions in line with agreed-on governance design principles, decision-making models and delegation."
Governance,"Evaluate, Direct and Monitor",EDM01,Ensured Governance Framework Setting and Maintenance,EDM01.02,Direct the governance system.,5.  Ensure that communication and reporting mechanisms provide those responsible for oversight and decision making with appropriate information.
Governance,"Evaluate, Direct and Monitor",EDM01,Ensured Governance Framework Setting and Maintenance,EDM01.02,Direct the governance system.,6.  Direct that staff follow relevant guidelines for ethical and professional behavior and ensure that consequences of noncompliance are known and enforced.
Governance,"Evaluate, Direct and Monitor",EDM01,Ensured Governance Framework Setting and Maintenance,EDM01.02,Direct the governance system.,7.  Direct the establishment of a reward system to promote desirable cultural change.
Governance,"Evaluate, Direct and Monitor",EDM01,Ensured Governance Framework Setting and Maintenance,EDM01.03,Monitor the governance system.,1.  Assess the effectiveness and performance of those stakeholders given delegated responsibility and authority for governance of enterprise I&T.
Governance,"Evaluate, Direct and Monitor",EDM01,Ensured Governance Framework Setting and Maintenance,EDM01.03,Monitor the governance system.,"2.  Periodically assess whether agreed-on governance of I&T mechanisms (structures, principles, processes, etc.) are established and operating effectively."
Governance,"Evaluate, Direct and Monitor",EDM01,Ensured Governance Framework Setting and Maintenance,EDM01.03,Monitor the governance system.,3.  Assess the effectiveness of the governance design and identify actions to rectify any deviations found.
Governance,"Evaluate, Direct and Monitor",EDM01,Ensured Governance Framework Setting and Maintenance,EDM01.03,Monitor the governance system.,"4.  Maintain oversight of the extent to which I&T satisfies obligations (regulatory, legislation, common law, contractual), internal policies, standards and professional guidelines."
Governance,"Evaluate, Direct and Monitor",EDM01,Ensured Governance Framework Setting and Maintenance,EDM01.03,Monitor the governance system.,"5.  Provide oversight of the effectiveness of, and compliance with, the enterprise’s system of control."
Governance,"Evaluate, Direct and Monitor",EDM01,Ensured Governance Framework Setting and Maintenance,EDM01.03,Monitor the governance system.,"6.  Monitor regular and routine mechanisms for ensuring that the use of I&T complies with relevant obligations (regulatory, legislation, common law, contractual), standards and guidelines."
Governance,"Evaluate, Direct and Monitor",EDM02,Ensured Benefits Delivery,EDM02.01,Establish the target investment mix.,"1.  Create and maintain portfolios of I&T-enabled investment programs, IT services and IT assets, which form the basis for the current IT budget and support the I&T tactical and strategic plans."
Governance,"Evaluate, Direct and Monitor",EDM02,Ensured Benefits Delivery,EDM02.01,Establish the target investment mix.,2.  Obtain a common understanding between IT and the other business functions on the potential opportunities for IT to enable and contribute to enterprise strategy.
Governance,"Evaluate, Direct and Monitor",EDM02,Ensured Benefits Delivery,EDM02.01,Establish the target investment mix.,"3.  Identify the broad categories of information systems, applications, data, IT services, infrastructure, I&T assets, resources, skills, practices, controls and relationships needed to support the enterprise strategy."
Governance,"Evaluate, Direct and Monitor",EDM02,Ensured Benefits Delivery,EDM02.01,Establish the target investment mix.,"4.  Agree on I&T goals, taking into account the interrelationships between the enterprise strategy and the I&T services, assets and other resources. Identify and leverage synergies that can be achieved."
Governance,"Evaluate, Direct and Monitor",EDM02,Ensured Benefits Delivery,EDM02.01,Establish the target investment mix.,"5.  Define an investment mix that achieves the right balance among a number of dimensions, including an appropriate balance of short- and long-term returns, financial and nonfinancial benefits, and high- and low-risk investments."
Governance,"Evaluate, Direct and Monitor",EDM02,Ensured Benefits Delivery,EDM02.02,Evaluate value optimization.,"1.  Understand stakeholder requirements; strategic I&T issues, such as dependence on I&T; and technology insights and capabilities regarding the actual and potential significance of I&T for the enterprise’s strategy."
Governance,"Evaluate, Direct and Monitor",EDM02,Ensured Benefits Delivery,EDM02.02,Evaluate value optimization.,"2.  Understand the key elements of governance required for the reliable, secure and cost-effective delivery of optimal value from the use of existing and new I&T services, assets and resources."
Governance,"Evaluate, Direct and Monitor",EDM02,Ensured Benefits Delivery,EDM02.02,Evaluate value optimization.,"3.  Understand and regularly discuss the opportunities that could arise for the enterprise from changes enabled by current, new or emerging technologies, and optimize the value created from those opportunities."
Governance,"Evaluate, Direct and Monitor",EDM02,Ensured Benefits Delivery,EDM02.02,Evaluate value optimization.,"4.  Understand what constitutes value for the enterprise, and consider how well it is communicated, understood and applied throughout the enterprise’s processes."
Governance,"Evaluate, Direct and Monitor",EDM02,Ensured Benefits Delivery,EDM02.02,Evaluate value optimization.,5.  Evaluate how effectively the enterprise and I&T strategies have been integrated and aligned within the enterprise and with enterprise goals for delivering value.
Governance,"Evaluate, Direct and Monitor",EDM02,Ensured Benefits Delivery,EDM02.02,Evaluate value optimization.,"6.  Understand and consider how effective current roles, responsibilities, accountabilities and decision-making bodies are in ensuring value creation from I&T-enabled investments, services and assets."
Governance,"Evaluate, Direct and Monitor",EDM02,Ensured Benefits Delivery,EDM02.02,Evaluate value optimization.,"7.  Consider how well the management of I&T-enabled investments, services and assets aligns with enterprise value management and financial management practices."
Governance,"Evaluate, Direct and Monitor",EDM02,Ensured Benefits Delivery,EDM02.02,Evaluate value optimization.,"8.  Evaluate the portfolio of investments, services and assets for alignment with the enterprise’s strategic objectives; enterprise worth, both financial and nonfinancial; risk, both delivery risk and benefits risk; business process alignment; effectiveness in terms of usability, availability and responsiveness; and efficiency in terms of cost, redundancy and technical health."
Governance,"Evaluate, Direct and Monitor",EDM02,Ensured Benefits Delivery,EDM02.03,Direct value optimization.,"1.  Define and communicate portfolio and investment types, categories, criteria and relative weightings to the criteria to allow for overall relative value scores."
Governance,"Evaluate, Direct and Monitor",EDM02,Ensured Benefits Delivery,EDM02.03,Direct value optimization.,"2.  Define requirements for stage-gates and other reviews for significance of the investment to the enterprise and associated risk, program schedules, funding plans, and the delivery of key capabilities and benefits and ongoing contribution to value."
Governance,"Evaluate, Direct and Monitor",EDM02,Ensured Benefits Delivery,EDM02.03,Direct value optimization.,"3.  Direct management to consider potential innovative uses of I&T that enable the enterprise to respond to new opportunities or challenges, undertake new business, increase competitiveness, or improve processes."
