PracticeID,Board,Chief Executive Officer,Chief Financial Officer,Chief Operating Officer,Business Executives,Business Process Owners,Strategy Executive Committee,Steering Committee,Project Management Office,Value Management Office,Chief Risk Officer,Chief Information Security Officer,Architecture Board,Enterprice Risk Committee,Head Human Resources,Compliance,Audit,Chief Information Officer,Head Architect,Head Development,Head IT Operations,Head IT Administration,Service Manager,Information Security Manager,Business Continuity Manager,Privacy Officer
EDM01.01,A,R,C,C,R,,R,,,,C,,C,C,C,C,C,R,C,C,C,,,,,
EDM01.02,A,R,C,C,R,I,R,I,I,I,C,I,I,I,I,C,C,R,C,I,I,I,I,I,I,I
EDM01.03,A,R,C,C,R,I,R,I,I,I,C,I,I,I,I,C,C,R,C,I,I,I,I,I,I,I
EDM02.01,A,R,R,C,R,,R,,,C,C,,C,C,C,C,C,R,C,C,C,,,,,
EDM02.02,A,R,R,C,R,I,R,I,I,I,I,I,I,I,I,I,I,R,C,I,I,I,I,I,I,I
EDM02.03,A,R,R,C,R,,R,,,R,C,C,C,C,C,C,C,R,C,C,C,,,,,
EDM03.01,A,R,C,C,R,C,R,,,I,R,C,,I,C,C,C,R,C,,,,,,,C
EDM03.02,A,R,C,C,R,C,R,I,I,I,R,I,I,I,C,C,C,R,C,I,I,I,I,I,I,I
EDM03.03,A,R,C,C,R,C,R,I,I,I,R,R,I,I,C,C,C,R,C,I,I,I,I,I,I,C
EDM04.01,A,R,R,C,R,,R,,,I,C,C,C,C,C,C,C,R,C,C,C,,,,,
EDM04.02,A,R,C,C,R,I,R,I,I,I,I,I,I,I,I,I,I,R,C,I,I,I,I,I,I,I
EDM04.03,A,R,C,C,R,I,R,I,I,I,C,C,C,C,C,C,C,R,C,C,C,I,I,I,I,I
EDM05.01,A,R,C,C,C,I,,,,,,,,,,C,C,R,I,,,I,,,,
EDM05.02,A,R,C,C,C,I,,,,,,,,,,C,C,R,I,,,I,,,,
EDM05.03,A,R,C,C,C,I,,,,,,,,,,C,C,R,I,,,I,,,,
APO01.01,,C,C,C,C,,I,,C,,,,,,R,I,I,A,C,C,C,R,C,C,C,
APO01.02,,,,,I,C,,,C,,,,,,C,C,C,A,C,C,C,R,C,C,C,C
APO01.03,C,A,C,R,C,C,I,,,,C,C,C,C,,C,C,R,,,,R,,,,
APO01.04,,A,R,R,R,I,R,I,I,I,R,R,I,I,I,I,I,R,I,I,I,I,I,I,I,I
APO01.05,,C,C,C,C,,A,,C,,,,,,C,C,C,R,C,C,C,R,C,C,C,
APO01.06,,I,I,C,A,R,,,,,,,,,C,C,C,C,C,,,,,,C,C
APO01.07,,,,A,,R,,,R,,,,C,,I,C,C,R,R,R,R,R,R,R,R,
APO01.08,,A,,,,R,,,R,,,,R,,R,C,I,R,R,R,R,R,R,R,R,
APO02.01,,C,C,C,A,C,C,,,,C,C,,C,,,,R,C,R,R,,R,R,R,
APO02.02,,C,C,C,R,C,C,,,,C,,,,,C,C,A,R,R,R,C,C,C,C,
APO02.03,,A,C,C,C,I,R,,I,,C,,C,,,C,C,R,C,C,C,C,C,C,C,
APO02.04,,,,,R,R,C,,,,C,,,,C,R,R,A,R,R,R,R,R,R,C,
APO02.05,,C,I,C,C,,C,,R,,C,C,,,,C,C,A,C,C,C,C,C,C,C,
APO02.06,I,R,I,I,R,I,A,I,I,I,I,I,I,I,I,I,I,R,I,I,I,I,I,I,I,I
APO03.01,,A,C,C,R,C,R,,,,,C,R,C,C,C,C,R,R,C,C,C,,C,,
APO03.02,,C,C,C,R,C,R,,,,,C,A,C,C,C,C,R,R,C,C,C,,C,,
APO03.03,,A,C,C,R,C,R,,,,,C,R,C,C,C,C,R,R,C,C,C,,C,,
APO03.04,,A,C,R,C,C,R,,,,,C,R,C,C,C,C,R,R,C,C,C,,C,,
APO03.05,,A,C,R,C,C,R,,,,,C,R,C,C,C,C,R,R,C,C,C,,C,,
APO04.01,,A,,R,R,R,,,,,,,,,R,,,R,R,R,R,,R,R,,
APO04.02,,,A,R,R,C,,,,,,,,,C,,,R,R,R,R,,,,,
APO04.03,,,,,,,,,,,,,,,,,,A,R,R,R,,R,R,,
APO04.04,,I,,I,C,C,C,,,,C,,,,,,,A,R,R,R,,R,R,,
APO04.05,,,,I,R,R,A,,,,,,C,,,,,R,R,R,R,,R,R,,
APO04.06,,,,,C,C,A,,,,,,C,,,,,R,C,C,C,,C,C,,
APO05.01,A,R,R,,C,,,,,I,C,C,,,,C,C,C,C,,,,,,,
APO05.02,C,,A,,R,,,,,C,,,,,,,,R,,,,,,,,
APO05.03,C,A,R,,R,,R,,,R,,,,,,,,R,C,,,,,,,
APO05.04,I,C,C,C,C,C,R,,,A,,,,,,C,C,C,C,,,,C,,,
APO05.05,,,I,I,R,C,A,,R,,,,,,,,,R,,C,C,,C,,,
APO05.06,,C,C,C,A,R,I,R,,I,,,,,,C,C,R,C,,,,C,,,
APO06.01,,,A,C,C,,,,C,R,,,,,,,C,C,,,,R,,,,
APO06.02,,I,R,,C,C,C,I,C,C,,I,,,,,,A,I,C,C,R,C,C,,
APO06.03,,I,A,,C,C,C,C,C,C,,,,,,,,R,C,C,C,R,C,C,C,
APO06.04,,,C,,C,C,C,C,C,C,,,,,,,,A,C,C,C,R,C,C,,
APO06.05,,,R,,C,C,C,C,C,C,,,,,,,,A,C,C,C,R,C,C,,
APO07.01,,,,,,,,,R,,I,,,,R,,,A,R,R,R,R,R,R,R,
APO07.02,,,,,,,,,R,,,,,,R,,,A,R,R,R,R,R,R,R,
APO07.03,,,,,,,,,R,,,,,,R,,,A,R,R,R,R,R,R,R,
APO07.04,,,,,,,,,R,,,,,,R,,,A,R,R,R,R,R,R,R,
APO07.05,,,,,R,C,A,R,R,,,,,,I,,,R,R,R,R,R,R,R,R,
APO07.06,,,,,,,,,R,,,,,,R,,,A,R,R,R,R,R,R,R,
APO08.01,,C,C,C,C,R,C,,C,,C,,,,,C,C,A,C,R,R,C,R,R,R,
APO08.02,,I,,I,I,R,R,,,,C,,,I,,C,C,A,R,R,R,,R,,,
APO08.03,,C,C,C,R,R,I,,,,,,,,,,,A,,R,R,,R,,,
APO08.04,,R,I,R,R,R,I,,,,,,,,,,,A,,R,R,,R,,,
APO08.05,,C,,I,C,R,I,,C,,,,,,,C,C,A,C,R,R,,R,C,C,
APO09.01,,C,,R,R,R,C,,I,,,,,,,I,I,R,I,C,C,C,A,I,I,
APO09.02,,,,,I,I,,,I,,,,,,,I,I,R,I,C,C,C,A,I,I,
APO09.03,,,,,R,C,,,C,,C,,,,,C,C,R,,C,R,R,A,C,C,
APO09.04,,I,,I,I,R,,,,,C,,,,,,,I,,I,I,I,A,,,
APO09.05,,,,,A,C,,,C,,C,,,,,C,C,R,,C,R,R,R,C,C,I
APO10.01,,,C,,,C,,,,,,,,,C,C,C,A,C,C,C,R,C,C,C,
APO10.02,,,C,,,C,,,,,,,,,C,C,C,A,C,C,C,R,C,C,C,
APO10.03,,,,,,I,,,,,,,,,C,C,C,A,C,R,R,R,C,C,C,
APO10.04,,,,,,C,,,,,R,,,,C,C,C,A,C,R,R,,C,C,C,C
APO10.05,,,I,,,C,,,,,C,,,,C,C,C,A,C,R,R,,C,C,C,C
APO11.01,,C,,A,C,I,C,I,I,,,,C,,,C,C,R,C,C,I,R,R,I,I,I
APO11.02,,C,,,C,R,C,,R,,,,C,,,C,C,A,R,R,R,R,R,R,R,R
APO11.03,,,,,A,R,C,,I,,,,,,,C,C,R,I,I,I,I,R,I,I,
APO11.04,,,C,,C,R,C,R,C,,R,,,,,C,C,A,C,C,C,C,R,C,C,C
APO11.05,,,,,C,C,,,,,I,,,,,,,A,C,R,R,,R,,,
APO11.06,,,,,C,R,C,,R,,,,,,,C,C,A,R,R,R,R,R,R,R,
APO12.01,,I,,,,R,,,R,,R,R,,I,,C,C,A,R,R,R,R,R,R,R,R
APO12.02,,I,,,,R,,,C,,R,C,,I,,R,R,A,C,C,C,C,C,C,C,C
APO12.03,,I,,,,R,,,C,,A,C,,I,,R,R,R,C,C,C,C,C,C,C,C
APO12.04,,I,,,,R,,,C,,R,C,,I,,C,C,A,C,C,C,C,C,C,C,C
APO12.05,,I,,,,R,,,C,,A,C,,I,,C,C,R,C,C,C,C,C,C,C,C
APO12.06,,I,,,,R,,,R,,R,R,,I,,C,C,A,R,R,R,R,R,R,R,R
APO13.01,,C,,C,C,I,C,I,I,,C,A,C,C,,C,C,R,I,I,I,R,I,R,C,C
