practice_id,activity
EDM01.01,"1. Analyse and identify the internal and external environmental factors (legal, regulatory and contractual obligations) and trends in the business environment that may influence governance design."
EDM01.01,2. Determine the significance of IT and its role with respect to the business.
EDM01.01,"3. Consider external regulations, laws and contractual obligations and determine how they should be applied within the governance of enterprise IT."
EDM01.01,"4. Align the ethical use and processing of information and its impact on society, natural environment, and internal and external stakeholder interests with the enterprise’s direction, goals and objectives."
EDM01.01,5. Determine the implications of the overall enterprise control environment with regard to IT.
EDM01.01,6. Articulate principles that will guide the design of governance and decision making of IT.
EDM01.01,7. Understand the enterprise’s decision-making culture and determine the optimal decision-making model for IT.
EDM01.01,"8. Determine the appropriate levels of authority delegation, including threshold rules, for IT decisions."
EDM01.02,1. Communicate governance of IT principles and agree with executive management on the way to establish informed and committed leadership.
EDM01.02,"2. Establish or delegate the establishment of governance structures, processes and practices in line with agreed-on design principles."
EDM01.02,"3. Allocate responsibility, authority and accountability in line with agreed-on governance design principles, decision-making models and delegation."
EDM01.02,4. Ensure that communication and reporting mechanisms provide those responsible for oversight and decision-making with appropriate information.
EDM01.02,5. Direct that staff follow relevant guidelines for ethical and professional behaviour and ensure that consequences of non-compliance are known and enforced.
EDM01.02,6. Direct the establishment of a reward system to promote desirable cultural change.
EDM01.03,1. Assess the effectiveness and performance of those stakeholders given delegated responsibility and authority for governance of enterprise IT.
EDM01.03,"2. Periodically assess whether agreed-on governance of IT mechanisms (structures, principles, processes, etc.) are established and operating effectively."
EDM01.03,3. Assess the effectiveness of the governance design and identify actions to rectify any deviations found.
EDM01.03,"4. Maintain oversight of the extent to which IT satisfies obligations (regulatory, legislation, common law, contractual), internal policies, standards and professional guidelines."
EDM01.03,"5. Provide oversight of the effectiveness of, and compliance with, the enterprise’s system of control."
EDM01.03,"6. Monitor regular and routine mechanisms for ensuring that the use of IT complies with relevant obligations (regulatory, legislation, common law, contractual), standards and guidelines."
EDM02.01,"1. Understand stakeholder requirements; strategic IT issues, such as dependence on IT; and technology insights and capabilities regarding the actual and potential significance of IT for the enterprise’s strategy."
EDM02.01,"2. Understand the key elements of governance required for the reliable, secure and cost-effective delivery of optimal value from the use of existing and new IT services, assets and resources."
