practise_id,practice_name,practice_governance
EDM01.01,Evaluate the governance system.,"Continually identify and engage with the enterprise’s stakeholders, document an understanding of the requirements, and make a judgement on the current and future design of governance of enterprise IT."
EDM01.02,Direct the governance system.,"Inform leaders and obtain their support, buy-in and commitment. Guide the structures, processes and practices for the governance of IT in line with agreed-on governance design principles, decision-making models and authority levels. Define the information required for informed decision making."
EDM01.03,Monitor the governance system.,"Monitor the effectiveness and performance of the enterprise’s governance of IT. Assess whether the governance system and implemented mechanisms (including structures, principles and processes) are operating effectively and provide appropriate oversight of IT."
EDM02.01,Evaluate value optimisation.,"Continually evaluate the portfolio of IT-enabled investments, services and assets to determine the likelihood of achieving enterprise objectives and delivering value at a reasonable cost. Identify and make judgement on any changes in direction that need to be given to management to optimise value creation."
EDM02.02,Direct value optimisation.,Direct value management principles and practices to enable optimal value realisation from IT-enabled investments throughout their full economic life cycle.
EDM02.03,Monitor value optimisation.,Monitor the key goals and metrics to determine the extent to which the business is generating the expected value and benefits to the enterprise from IT-enabled investments and services. Identify significant issues and consider corrective actions.
EDM03.01,Evaluate risk management.,Continually examine and make judgement on the effect of risk on the current and future use of IT in the enterprise. Consider whether the enterprise’s risk appetite is appropriate and that risk to enterprise value related to the use of IT is identified and managed.
EDM03.02,Direct risk management.,Direct the establishment of risk management practices to provide reasonable assurance that IT risk management practices are appropriate to ensure that the actual IT risk does not exceed the board’s risk appetite.
EDM03.03,Monitor risk management.,"Monitor the key goals and metrics of the risk management processes and establish how deviations or problems will be identified, tracked and reported for remediation."
EDM04.01,Evaluate resource management.,"Continually examine and make judgement on the current and future need for IT-related resources, options for resourcing (including sourcing strategies), and allocation and management principles to meet the needs of the enterprise in the optimal manner."
EDM04.02,Direct resource management.,Ensure the adoption of resource management principles to enable optimal use of IT resources throughout their full economic life cycle.
EDM04.03,Monitor resource management.,"Monitor the key goals and metrics of the resource management processes and establish how deviations or problems will be identified, tracked and reported for remediation."
EDM05.01,Evaluate stakeholder reporting requirements.,"Continually examine and make judgement on the current and future requirements for stakeholder communication and reporting, including both mandatory reporting requirements (e.g., regulatory) and communication to other stakeholders. Establish the principles for communication."
EDM05.02,Direct stakeholder communication and reporting.,"Ensure the establishment of effective stakeholder communication and reporting, including mechanisms for ensuring the quality and completeness of information, oversight of mandatory reporting, and creating a communication strategy for stakeholders."
EDM05.03,Monitor stakeholder communication.,"Monitor the effectiveness of stakeholder communication. Assess mechanisms for ensuring accuracy, reliability and effectiveness, and ascertain whether the requirements of different stakeholders are met."
APO01.01,Define the organisational structure.,"Establish an internal and extended organisational structure that reflects business needs and IT priorities. Put in place the required management structures (e.g., committees) that enable management decision making to take place in the most effective and efficient manner."
APO01.02,Establish roles and responsibilities.,"Establish, agree on and communicate roles and responsibilities of IT personnel, as well as other stakeholders with responsibilities for enterprise IT, that clearly reflect overall business needs and IT objectives and relevant personnel’s authority, responsibilities and accountability."
APO01.03,Maintain the enablers of the management system.,"Maintain the enablers of the management system and control environment for enterprise IT, and ensure that they are integrated and aligned with the enterprise’s governance and management philosophy and operating style. These enablers include the clear communication of expectations/requirements. The management system should encourage cross-divisional co-operation and teamwork, promote compliance and continuous improvement, and handle process deviations (including failure)."
APO01.04,Communicate management objectives and direction.,Communicate awareness and understanding of IT objectives and direction to appropriate stakeholders and users throughout the enterprise.
APO01.05,Optimise the placement of the IT function.,"Position the IT capability in the overall organisational structure to reflect an enterprise model relevant to the importance of IT within the enterprise, specifically its criticality to enterprise strategy and the level of operational dependence on IT. The reporting line of the CIO should be commensurate with the importance of IT within the enterprise."
