Cobit Code,Cobit omschrijving,Cobit Vraag,AFM eigenaar,Secundair,Legenda,
EDM01.01 Evaluate the governance system.,"Continually identify and engage with the enterprise’s stakeholders, document an understanding of the requirements, and make a judgement on the current and future design of governance of enterprise IT.","1. Analyse and identify the internal and external environmental factors (legal, regulatory and contractual obligations) and trends in the business environment that may influence the information security governance design.",RM,,RM,Risk Management
EDM01.01 Evaluate the governance system.,"Continually identify and engage with the enterprise’s stakeholders, document an understanding of the requirements, and make a judgement on the current and future design of governance of enterprise IT.",2. Evaluate the extent to which information security meets the business and compliance/regulatory needs. ,ISO2,,ISO1,Eerstelijns IT Security Officer
EDM01.01 Evaluate the governance system.,"Continually identify and engage with the enterprise’s stakeholders, document an understanding of the requirements, and make a judgement on the current and future design of governance of enterprise IT.",3. Articulate principles that will guide the design of information security enablers and promote a security-positive environment. ,ISO2,,ISO2,Tweedelijns IT Security Officer
EDM01.01 Evaluate the governance system.,"Continually identify and engage with the enterprise’s stakeholders, document an understanding of the requirements, and make a judgement on the current and future design of governance of enterprise IT.",4. Understand the enterprise’s decision-making culture and determine the optimal decision-making model for information security. ,RM,,B,Beveiligingsplatform
EDM01.02 Direct the governance system. ,"Inform leaders and obtain their support, buy-in and commitment. Guide the structures, processes and practices for the governance of IT in line with agreed-on governance design principles, decision-making models and authority levels. Define the information required for informed decision making. ",1. Obtain senior management commitment to information security and information risk management. ,RM,,BCP,Business Continuity Plan
EDM01.02 Direct the governance system. ,"Inform leaders and obtain their support, buy-in and commitment. Guide the structures, processes and practices for the governance of IT in line with agreed-on governance design principles, decision-making models and authority levels. Define the information required for informed decision making. ",2. Mandate an enterprisewide information security function. ,B,,IT,Informatietechnologie
EDM01.02 Direct the governance system. ,"Inform leaders and obtain their support, buy-in and commitment. Guide the structures, processes and practices for the governance of IT in line with agreed-on governance design principles, decision-making models and authority levels. Define the information required for informed decision making. ",3. Mandate an information security steering committee (ISSC). ,B,,IAD,Interne Accountantsdienst
EDM01.02 Direct the governance system. ,"Inform leaders and obtain their support, buy-in and commitment. Guide the structures, processes and practices for the governance of IT in line with agreed-on governance design principles, decision-making models and authority levels. Define the information required for informed decision making. ",4. Implement hierarchical information and decision escalation procedures. ,BCF,,P,Privacy Officer
EDM01.02 Direct the governance system. ,"Inform leaders and obtain their support, buy-in and commitment. Guide the structures, processes and practices for the governance of IT in line with agreed-on governance design principles, decision-making models and authority levels. Define the information required for informed decision making. ",5. Align information security strategy with business strategy. ,RM,,IM,Informatie Management
EDM01.02 Direct the governance system. ,"Inform leaders and obtain their support, buy-in and commitment. Guide the structures, processes and practices for the governance of IT in line with agreed-on governance design principles, decision-making models and authority levels. Define the information required for informed decision making. ",6. Foster an information security-positive culture and environment. ,ISO2,,HR,Human Resources
EDM01.03 Monitor the governance system. ,"Monitor the effectiveness and performance of the enterprise’s governance of IT. Assess whether the governance system and implemented mechanisms (including structures, principles and processes) are operating effectively and provide appropriate oversight of IT. ",1. Monitor regular and routine mechanisms for ensuring that the use of information security measurement systems complies with information security-related legislation and regulation. Analyse overall implications of the changing threat landscape. ,IAD,,,
EDM02.01 Evaluate value optimisation. ,"Continually evaluate the portfolio of IT-enabled investments, services and assets to determine the likelihood of achieving enterprise objectives and delivering value at a reasonable cost. Identify and make judgement on any changes in direction that need to be given to management to optimise value creation. ","1. Identify and record the requirements of stakeholders (such as shareholders, regulators, auditors and customers) for protecting their interests and delivering value through information security activity. Set direction accordingly. ",RM,,,
EDM02.02 Direct value optimisation. ,Direct value management principles and practices to enable optimal value realisation from IT-enabled investments throughout their full economic life cycle. ,1. Establish a method of demonstrating the value of information security (including defining and collecting relevant data) to ensure the efficient use of existing information security-related assets. ,ISO2,,,
EDM02.02 Direct value optimisation. ,Direct value management principles and practices to enable optimal value realisation from IT-enabled investments throughout their full economic life cycle. ,2. Ensure the use of financial and non-financial measures to describe the added value of information security initiatives. ,ISO2,,,
EDM02.02 Direct value optimisation. ,Direct value management principles and practices to enable optimal value realisation from IT-enabled investments throughout their full economic life cycle. ,3. Use business-focussed methods of reporting on the added value of information security initiatives. ,ISO2,,,
EDM02.03 Monitor value optimisation. ,Monitor the key goals and metrics to determine the extent to which the business is generating the expected value and benefits to the enterprise from IT-enabled investments and services. Identify significant issues and consider corrective actions. ,1. Track outcomes of information security initiatives and compare to expectations to ensure value delivery against business goals. ,ISO2,,,
EDM03.01 Evaluate risk management. ,Continually examine and make judgement on the effect of risk on the current and future use of IT in the enterprise. Consider whether the enterprise’s risk appetite is appropriate and that risk to enterprise value related to the use of IT is identified and managed. ,1. Determine the enterprise risk appetite at the board level. ,RM,,,
EDM03.01 Evaluate risk management. ,Continually examine and make judgement on the effect of risk on the current and future use of IT in the enterprise. Consider whether the enterprise’s risk appetite is appropriate and that risk to enterprise value related to the use of IT is identified and managed. ,2. Measure the level of integration of information risk management with the overall ERM model. ,RM,,,
EDM03.02 Direct risk management. ,Direct the establishment of risk management practices to provide reasonable assurance that IT risk management practices are appropriate to ensure that the actual IT risk does not exceed the board’s risk appetite. ,1. Integrate information risk management within the overall ERM model. ,RM,,,
EDM03.03 Monitor risk management. ,"Monitor the key goals and metrics of the risk management processes and establish how deviations or problems will be identified, tracked and reported for remediation. ",1. Monitor the enterprise information risk profile or risk appetite to achieve optimal balance between business risk and opportunities. ,RM,,,
EDM03.03 Monitor risk management. ,"Monitor the key goals and metrics of the risk management processes and establish how deviations or problems will be identified, tracked and reported for remediation. ",2. Include outcomes of information risk management processes as inputs to the overall business risk dashboard. ,RM,,,
EDM04.01 Evaluate resource management. ,"Continually examine and make judgement on the current and future need for IT-related resources, options for resourcing (including sourcing strategies), and allocation and management principles to meet the needs of the enterprise in the optimal manner. ","1. Evaluate the effectiveness of information security resources in terms of the provision, training, awareness and competencies of necessary resources in comparison with business needs. ",ISO2,,,
EDM04.02 Direct resource management. ,Ensure the adoption of resource management principles to enable optimal use of IT resources throughout their full economic life cycle. ,1. Ensure that information security resource management is aligned to business needs. ,ISO2,,,
EDM04.03 Monitor resource management. ,"Monitor the key goals and metrics of the resource management processes and establish how deviations or problems will be identified, tracked and reported for remediation. ","1. Measure the effectiveness, efficiency and capacity of information security resources against business needs. ",ISO2,,,
EDM05.01 Evaluate stakeholder reporting requirements.,"Continually examine and make judgement on the current and future requirements for stakeholder communication and reporting, including both mandatory reporting requirements (e.g., regulatory) and communication to other stakeholders. Establish the principles for communication. ","1. Determine the audience, including internal and external individuals or groups, for communication and reporting. ",ISO2,,,
EDM05.01 Evaluate stakeholder reporting requirements.,"Continually examine and make judgement on the current and future requirements for stakeholder communication and reporting, including both mandatory reporting requirements (e.g., regulatory) and communication to other stakeholders. Establish the principles for communication. ","2. Identify requirements for reporting on information security to stakeholders (e.g., what information is required, when it is required, how it is presented). ",ISO2,,,
EDM05.01 Evaluate stakeholder reporting requirements.,"Continually examine and make judgement on the current and future requirements for stakeholder communication and reporting, including both mandatory reporting requirements (e.g., regulatory) and communication to other stakeholders. Establish the principles for communication. ",3. Identify the means and channels to communicate information security issues. ,ISO2,,,
EDM05.02 Direct stakeholder communication and reporting.,"Ensure the establishment of effective stakeholder communication and reporting, including mechanisms for ensuring the quality and completeness of information, oversight of mandatory reporting, and creating a communication strategy for stakeholders. ",1. Prioritise reporting on information security issues to stakeholders. ,ISO2,,,
EDM05.02 Direct stakeholder communication and reporting.,"Ensure the establishment of effective stakeholder communication and reporting, including mechanisms for ensuring the quality and completeness of information, oversight of mandatory reporting, and creating a communication strategy for stakeholders. ",2. Perform internal and external audits to assess the effectiveness of the information security governance programme. ,IAD,,,
EDM05.02 Direct stakeholder communication and reporting.,"Ensure the establishment of effective stakeholder communication and reporting, including mechanisms for ensuring the quality and completeness of information, oversight of mandatory reporting, and creating a communication strategy for stakeholders. ","3. Produce for stakeholders regular information security status reports that include information security activities, performance, achievements, risk profile, business benefits, ‘hot topics’ (e.g., cloud, consumer products), outstanding risk (including compliance and audit) and capability gaps. ",ISO2,,,
EDM05.03 Monitor stakeholder communication. ,"Monitor the effectiveness of stakeholder communication. Assess mechanisms for ensuring accuracy, reliability and effectiveness, and ascertain whether the requirements of different stakeholders are met. ","1. Establish information security monitoring and reporting (e.g., using key performance indicators [KPIs] for information security and information risk management that are based on metrics and measurements in the MEA domain) ",ISO2,,,
APO01.01 Define the organisational structure. ,"Establish an internal and extended organisational structure that reflects business needs and IT priorities. Put in place the required management structures (e.g., committees) that enable management decision making to take place in the most effective and efficient manner. ",1. Align the information security-related organisation with enterprise architecture organisational models. ,ISO2,,,
APO01.01 Define the organisational structure. ,"Establish an internal and extended organisational structure that reflects business needs and IT priorities. Put in place the required management structures (e.g., committees) that enable management decision making to take place in the most effective and efficient manner. ",2. Establish an ISSC (or equivalent). ,ISO2,,,
APO01.01 Define the organisational structure. ,"Establish an internal and extended organisational structure that reflects business needs and IT priorities. Put in place the required management structures (e.g., committees) that enable management decision making to take place in the most effective and efficient manner. ","3. Define the information security function, including internal and external roles, capabilities and decision rights required. ",ISO2,,,
APO01.02 Establish roles and responsibilities. ,"Establish, agree on and communicate roles and responsibilities of IT personnel, as well as other stakeholders with responsibilities for enterprise IT, that clearly reflect overall business needs and IT objectives and relevant personnel’s authority, responsibilities and accountability. ","1. Establish, agree on and communicate the roles of CISO and ISM (or equivalents). ",B,,,
