Area,Domain,Objective ID,Objective,Objective Description,Objective Purpose Statement,Practice ID,Practice Name,Practice Description
Governance,"Evaluate, Direct and Monitor",EDM01,Ensured Governance Framework Setting and Maintenance,"Analyze and articulate the requirements for the governance of enterprise I&T. Put in place and maintain governance components with clarity of authority and responsibilities to achieve the enterprise's mission, goals and objectives.","Provide a consistent approach integrated and aligned with the enterprise governance approach. I&T-related decisions are made in line with the enterprise's strategies and objectives and desired value is realized. To that end, ensure that I&T-related processes are overseen effectively and transparently; compliance with legal, contractual and regulatory requirements is confirmed; and the governance requirements for board members are met.",EDM01.01,Evaluate the governance system.,"Continually identify and engage with the enterprise's stakeholders, document an understanding of the requirements, and evaluate the current and future design of governance of enterprise I&T."
,,,,,,EDM01.02,Direct the governance system.,"Inform leaders on I&T governance principles and obtain their support, buy-in and commitment. Guide the structures, processes and practices for the governance of I&T in line with the agreed governance principles, decision-making models and authority levels. Define the information required for informed decision making."
,,,,,,EDM01.03,Monitor the governance system.,"Monitor the effectiveness and performance of the enterprise’s governance of I&T. Assess whether the governance system and implemented mechanisms (including structures, principles and processes) are operating effectively and provide appropriate oversight of I&T to enable value creation."
Governance,"Evaluate, Direct and Monitor",EDM02,Ensured Benefits Delivery,"Optimize the value to the business from investments in business processes, I&T services and I&T assets. ","Secure optimal value from I&T-enabled initiatives, services and assets; cost-efficient delivery of solutions and services; and a reliable and accurate picture of costs and likely benefits so that business needs are supported effectively and efficiently.",EDM02.01,Establish the target investment mix.,"Review and ensure clarity of the enterprise and I&T strategies and current services. Define an appropriate investment mix based on cost, alignment with strategy, type of benefit for the programs in the portfolio, degree of risk, and financial measures such as cost and expected return on investment (ROI) over the full economic life cycle. Adjust the enterprise and I&T strategies where necessary."
,,,,,,EDM02.02,Evaluate value optimization.,"Continually evaluate the portfolio of I&T-enabled investments, services and assets to determine the likelihood of achieving enterprise objectives and delivering value. Identify and evaluate any changes in direction to management that will optimize value creation."
,,,,,,EDM02.03,Direct value optimization.,Direct value management principles and practices to enable optimal value realization from I&T-enabled investments throughout their full economic life cycle.
,,,,,,EDM02.04,Monitor value optimization.,Monitor key goals and metrics to determine whether the enterprise receives expected value and benefit from I&T-enabled investments and services. Identify significant issues and consider corrective actions.
Governance,"Evaluate, Direct and Monitor",EDM03,Ensured Risk Optimization,"Ensure that the enterprise's risk appetite and tolerance are understood, articulated and communicated, and that risk to enterprise value related to the use of I&T is identified and managed.","Ensure that I&T-related enterprise risk does not exceed the enterprise's risk appetite and risk tolerance, the impact of I&T risk to enterprise value is identified and managed, and the potential for compliance failures is minimized.",EDM03.01,Evaluate risk management.,Continually examine and evaluate the effect of risk on the current and future use of I&T in the enterprise. Consider whether the enterprise's risk appetite is appropriate and ensure that risk to enterprise value related to the use of I&T is identified and managed.
,,,,,,EDM03.02,Direct risk management.,Direct the establishment of risk management practices to provide reasonable assurance that I&T risk management practices are appropriate and that actual I&T risk does not exceed the board’s risk appetite.
,,,,,,EDM03.03,Monitor risk management.,"Monitor the key goals and metrics of the risk management processes. Determine how deviations or problems will be identified, tracked and reported for remediation."
